status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154123560186006,178,461,5488,43,13,19,0,2
7331091005_10154123362896006,1932,3158,10385,96,15,1499,0,2
7331091005_10154123319126006,270,400,1971,28,47,10,0,7
7331091005_10154123234521006,11811,43923,107561,1202,4334,2424,628,394
7331091005_10154123219076006,999,2978,8833,28,932,188,473,21
7331091005_10154123189346006,897,2525,29660,398,26,2009,3,15
7331091005_10154123132896006,628,90,1173,43,11,8,7,19
7331091005_10154123136121006,283,819,8776,348,8,120,1,4
7331091005_10154123102181006,147,917,12771,433,29,23,2,57
7331091005_10154123021136006,4447,35534,41914,621,752,32,3,3
7331091005_10154122959911006,19,33,441,3,2,3,0,0
7331091005_10154122914261006,38,355,3580,97,4,32,0,4
7331091005_10154122756301006,11,10,126,4,0,1,0,0
7331091005_10154122866096006,149,366,3786,82,9,105,0,3
7331091005_10154122823271006,1026,1632,4190,20,129,92,5,32
7331091005_10154122765336006,739,2413,24667,774,36,203,11,16
7331091005_10154122722061006,1326,3840,43658,503,53,4474,5,15
7331091005_10154122686201006,89,100,2596,14,4,41,0,0
7331091005_10154122655576006,395,811,7685,99,9,1101,0,0
7331091005_10154122459461006,222,578,3610,23,45,17,2,5
7331091005_10154122428786006,139,184,4345,36,4,568,1,1
7331091005_10154121679506006,1474,1204,13797,162,14,441,4,8
7331091005_10154121610466006,156,202,3323,31,22,212,116,15
7331091005_10154121541501006,65,285,6739,141,49,8,0,3
7331091005_10154121541286006,338,897,12035,258,384,22,7,13
7331091005_10154121438506006,346,517,4138,42,137,199,2,2
7331091005_10154121381406006,504,406,4697,25,81,111,2,0
7331091005_10154121119431006,1237,2435,7602,54,194,620,13,9
7331091005_10154121002371006,29,76,1289,19,2,2,0,0
7331091005_10154120889001006,720,6804,45709,1313,108,1284,47,34
7331091005_10154120242806006,119,316,1836,12,0,149,1,2
7331091005_10154120623176006,7866,11552,41032,223,1721,2110,3,5
7331091005_10154120568801006,169,160,3184,13,24,68,3,0
7331091005_10154120525561006,187,188,1421,11,2,25,0,1
7331091005_10154120470331006,774,1711,8366,56,43,452,190,42
7331091005_10154120404381006,2582,8345,21987,259,775,782,69,191
7331091005_10154120346006006,91,267,2919,18,1,115,0,2
7331091005_10154120315611006,655,4125,39706,972,55,892,168,24
7331091005_10154120304151006,31,37,622,3,1,24,1,5
7331091005_10154120231031006,44,31,914,13,1,3,0,1
7331091005_10154120132966006,412,3969,31130,789,109,32,6,1
7331091005_10154120111896006,1217,1452,11065,79,170,336,0,3
7331091005_10154120045131006,1333,3039,9586,68,17,1183,1,4
7331091005_10154119996296006,348,700,4816,38,23,139,0,1
7331091005_10154119269881006,1019,1641,18559,156,109,3132,29,14
